id,perceptionId,originX,originY,destinationX,destinationY,translationX,translationY,rotationCCW
0,20791.6840385292_36169.631390873124,20791.6840385292,36169.631390873124,28674.00363256027,37609.78418637067,7882.319594031069,1440.1527954975463,0.0
1,20418.944578321443_35568.958452552324,20418.944578321443,35568.958452552324,28548.16570377307,37625.94697392665,8129.221125451626,2056.9885213743255,0.0
2,20418.944578321443_35568.958452552324,20418.944578321443,35568.958452552324,28579.422451808983,37626.179877274335,8160.47787348754,2057.221424722011,0.0
3,20659.2540887639_36489.608537614346,20659.2540887639,36489.608537614346,28609.753123557744,37613.048857523056,7950.499034793844,1123.44031990871,0.0
4,20687.6239865183_36456.770614322326,20687.6239865183,36456.770614322326,28705.137638652664,37591.685195066064,8017.513652134363,1134.914580743738,0.0
5,20598.687784265952_35221.613611461624,20598.687784265952,35221.613611461624,28592.285479922095,37619.46325146545,7993.597695656143,2397.8496400038275,0.0
6,20441.343724874452_35506.46101011243,20441.343724874452,35506.46101011243,28537.258472420814,37601.46888107611,8095.9147475463615,2095.00787096368,0.0
7,20492.503226978624_35761.415294893646,20492.503226978624,35761.415294893646,28604.99347015438,37614.50396569345,8112.490243175755,1853.088670799807,0.0
8,20501.37719111055_35734.47537162242,20501.37719111055,35734.47537162242,28683.207885880936,37640.38166326427,8181.830694770386,1905.906291641848,0.0
9,21292.42868767395_36069.1411799287,21292.42868767395,36069.1411799287,28792.99133453566,37481.85438257927,7500.562646861712,1412.7132026505715,0.0
10,20866.14912971655_35234.832662755696,20866.14912971655,35234.832662755696,28797.095630596195,37743.281749697344,7930.946500879647,2508.4490869416477,0.0
11,20441.343724874452_35506.46101011243,20441.343724874452,35506.46101011243,28814.141516348274,37573.29637326832,8372.797791473822,2066.835363155893,0.0
12,20441.343724874452_35506.46101011243,20441.343724874452,35506.46101011243,28814.141516348274,37573.29637326832,8372.797791473822,2066.835363155893,0.0
13,21193.960181632425_36236.5747848843,21193.960181632425,36236.5747848843,28819.742636957526,37666.544372649645,7625.782455325101,1429.969587765343,0.0
14,21569.575148646327_35719.52086798908,21569.575148646327,35719.52086798908,28639.84922651667,37605.479830474564,7070.274077870345,1885.9589624854852,0.0
15,21572.227032402374_35723.96166743363,21572.227032402374,35723.96166743363,28694.164427616324,37665.029572236745,7121.93739521395,1941.067904803116,0.0
16,21572.227032402374_35723.96166743363,21572.227032402374,35723.96166743363,28751.775194393205,37713.06502203795,7179.548161990831,1989.1033546043182,0.0
17,21569.575148646327_35719.52086798908,21569.575148646327,35719.52086798908,28749.009330761113,37579.82047728486,7179.434182114786,1860.2996092957837,0.0
18,21596.8249808591_35710.414345803714,21596.8249808591,35710.414345803714,28767.735063436936,37757.656552387685,7170.910082577837,2047.242206583971,3.141592653589793
19,20538.176204030475_35605.552777581026,20538.176204030475,35605.552777581026,28596.416745334333,37617.77055879073,8058.240541303858,2012.217781209707,0.0
20,20986.219952276773_35919.0048834686,20986.219952276773,35919.0048834686,28706.854097932937,37574.97710394431,7720.634145656164,1655.9722204757054,0.0
21,20559.18430526235_36306.084865150755,20559.18430526235,36306.084865150755,28676.296016953667,37605.04167279192,8117.111711691316,1298.956807641167,0.0
22,20663.537812711525_36446.6645967964,20663.537812711525,36446.6645967964,28700.955831234587,37583.35514765931,8037.418018523062,1136.6905508629134,0.0
23,20680.734506772525_36467.600306852226,20680.734506772525,36467.600306852226,28618.287723772544,37585.86723646246,7937.553217000019,1118.2669296102322,0.0
24,20514.156999423776_35609.883042734145,20514.156999423776,35609.883042734145,28811.882441204674,37626.28318331842,8297.725441780898,2016.4001405842719,0.0
25,20441.343724874452_35506.46101011243,20441.343724874452,35506.46101011243,28797.095630596195,37743.281749697344,8355.751905721743,2236.8207395849167,0.0
26,20441.343724874452_35506.46101011243,20441.343724874452,35506.46101011243,28814.141516348274,37573.29637326832,8372.797791473822,2066.835363155893,0.0
